Material,Value
 CoCrFeMnNi ,655
 AlCrCuFeNi ,580
 FeCoNiCrMn ,650
 AlCoCrFeNi ,570
 CoCrFeMnNiTi ,720
 CoCrFeMnNiV ,700
 CoCrFeMnNiMo ,750
 AlCuCrFeNi ,530
 CoCuFeMnNi ,610
 CoCrFeNi ,620
 CoCrFeMnNi ,655
 AlCrCuFeNi ,580
 FeCoNiCrMn ,650
 AlCoCrFeNi ,570
 CoCrFeMnNiTi ,720
 CoCrFeMnNiV ,700
 CoCrFeMnNiMo ,750
 AlCuCrFeNi ,530
 CoCuFeMnNi ,610
 CoCrFeNi ,620
 FeMoNbTaW ,790
 CoCrFeNiMn ,680
 CoCrFeNiPd ,730
 AlCoCrFeMn ,540
 CoCrFeNiSi ,640
 CoCrFeMnNi ,655
 AlCrCuFeNi ,580
 FeCoNiCrMn ,650
 AlCoCrFeNi ,570
 CoCrFeMnNiTi ,720
 CoCrFeMnNiV ,700
 CoCrFeMnNiMo ,750
 AlCuCrFeNi ,530
 CoCuFeMnNi ,610
 CoCrFeNi ,620
 FeMoNbTaW ,790
 CoCrFeNiMn ,680
 CoCrFeNiPd ,730
 AlCoCrFeMn ,540
 CoCrFeNiSi ,640
 CoCrFeNiAl ,660
 CoCrFeNiGa ,670
 CoCrFeNiGe ,690
 CoCrFeNiHf ,710
